OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157242871;-118.155416057256645;34.703581545744868;Uaw - Labor Employment And Training Corporation - Antelope Valley One-Stop Career Center;1420 W Ave I;Lancaster;57049;93534;34.70358158;-118.155416;6514959.43879247;2078464.89124607
157242873;-118.291694056351417;34.012665966702293;Uaw - Labor Employment And Training Corporation - Southeast Los Angeles / Crenshaw Worksource Center;3965 S. Vermont Ave.;Los Angeles;57050;90037;34.012666;-118.291694;6473271.00150022;1827118.03436072
157243572;-118.265334056458656;33.845101967176859;Human Potential Consultants, Llc;500 E. Carson Plaza Dr.;Carson;57531;90746;33.845102;-118.265334;6481098.54588448;1766115.79087989
157243858;-118.496559056016778;34.014654966494682;Community Corporation Of Santa Monica;1423 Second St.;Santa Monica;;;;;;
157244193;-118.254849056204151;34.150491967077137;United States Small Business Administration - Los Angeles District Office;330 N. Brand Blvd.;Glendale;58128;91203;34.150492;-118.254849;6484564.20365131;1877245.02662623
157244206;-118.255457456616028;34.051886246454742;Los Angeles County Economic Development Corporation;444 S Flower St;Los Angeles;58139;90071;34.05188628;-118.2554574;6484288.9325483;1841361.13743615
157244415;-118.573068356190802;34.429320046093189;Hands On Santa Clarita;25201 Ave Tibbitts;Valencia;58362;91355;34.42932008;-118.5730683;6388864.26053713;1979110.64901006
157244609;-118.573438756163071;34.40583104575343;City Of Santa Clarita Worksource Center;26455 Rockwell Canyon Rd;Santa Clarita;58532;91355;34.40583108;-118.5734387;6388703.80383706;1970563.29799455
157244611;-118.206722056233829;33.900842967335699;City Of Compton Careerlink Center;700 N. Bullis Rd.;Compton;58533;90221;33.900843;-118.206722;6498938.45771113;1786359.46430323
157244612;-118.329106056574091;34.103858966303044;Thai Community Development Center;6376 Yucca St.;Los Angeles;58534;90028;34.103859;-118.329106;6462041.80217388;1860339.76778589
157244963;-118.160256056099556;33.894282967106754;Paramount Chamber Of Commerce;15357 Paramount Blvd.;Paramount;58827;90723;33.894283;-118.160256;6513035.21396638;1783946.39006114
157244978;-118.140024256682253;33.851206857197056;Greater Lakewood Chamber Of Commerce;24 Lakewood Center Mall;Lakewood;;;;;;
157245124;-118.237400056217652;34.055556966736063;Los Angeles County Children And Families First - Proposition 10 Commission;750 N. Alameda St.;Los Angeles;58962;90012;34.055557;-118.2374;6489761.90027688;1842683.57048681
157245149;-118.195582156486509;33.768134057162406;City Of Long Beach Development Services - Housing;333 W Ocean Blvd;Long Beach;58982;90802;33.76813409;-118.1955821;6502224.99772596;1738056.57501681
157245151;-118.295557055931667;34.0619179671111;Managed Career Solutions Inc;3333 Wilshire Blvd.;Los Angeles;58985;90010;34.061918;-118.295557;6472153.00504856;1845045.15139356
157245154;-118.35313605619038;33.929360396916621;Hawthorne / South Bay Workforce Investment Board;11539 S Hawthorne Blvd;Hawthorne;;;;;;
157245156;-118.309626056141212;33.879022967419957;Hawthorne / South Bay Workforce Investment Board - South Bay One Stop Business And Career Center - Gardena;16801 S. Western Ave.;Gardena;;;;;;
157245158;-118.353109955551446;33.962749256955519;Hawthorne / South Bay Workforce Investment Board - South Bay One Stop Business And Career Center - Inglewood;110 S La  Brea Ave;Inglewood;;;;;;
157245160;-118.388412755988227;33.820220687052235;Hawthorne / South Bay Workforce Investment Board - South Bay One Stop Business And Career Center - Beach Cities;1611 S Catalina Ave;Redondo Beach;;;;;;
157245162;-118.259511056605746;33.832890967058681;Hawthorne / South Bay Workforce Investment Board - South Bay One Stop Business And Career Center - Carson;1 Civic Plaza Dr.;Carson;58992;90745;33.832891;-118.259511;6482855.29138672;1761667.29288715
157245219;-118.255530056110047;34.049055026640644;United States Department Of Housing And Urban Development;611 W 6Th St;Los Angeles;59048;90017;34.04905506;-118.25553;6484264.32203323;1840330.86062531
157246326;-117.982531657328337;34.100220056743495;San Gabriel Valley Economic Partnership;4900 Rivergrade Rd;Irwindale;60122;91706;34.10022009;-117.9825316;6566958.68387514;1858852.86656022
157246329;-118.223265456372175;34.077926756739217;Goodwill Southern California - Metro North Los Angeles Worksource Center;342 N San Fernando Rd;Los Angeles;;;;;;
157246331;-118.025651056891306;34.067367966676507;Goodwill Southern California - Central San Gabriel Valley Worksource Center;11635 Valley Blvd.;El Monte;;;;;;
157246450;-118.185828056286908;33.819789967593756;Pacific Gateway Workforce Investment Network;3447 Atlantic Ave.;Long Beach;60208;90807;33.81979;-118.185828;6505224.41429931;1756849.93244314
157246456;-118.202065056491691;33.75147596771113;Port Of Long Beach;925 Harbor Plaza;Long Beach;60214;90802;33.751476;-118.202065;6500242.39736047;1731998.11830173
157247078;-118.243172156114341;34.054045806831652;City Of Los Angeles Department Of Public Works - Office Of Community Beautification;200 N Spring St;Los Angeles;60813;90012;34.05404584;-118.2431721;6488012.20495738;1842137.81107965
157247152;-118.125227056499995;34.144848967264927;Foothill Workforce Investment Board - Foothill Employment And Training Connection;1207 E. Green St.;Pasadena;60846;91106;34.144849;-118.125227;6523779.54319946;1875117.29367697
157247153;-118.243771056553513;34.048149966583324;Asian Pacific Islander Small Business Program;231 E. 3rd St.;Los Angeles;60847;90013;34.04815;-118.243771;6487825.59181355;1839992.64575057
157247356;-118.240027056108858;34.062133966921657;Chinatown Worksource Center;767 N. Hill St.;Los Angeles;61113;90012;34.062134;-118.240027;6488971.89923222;1845078.95086664
157249164;-118.25421305616635;33.936705967011569;Maxine Waters Employment Preparation Center;10925 South  Central Ave;Los Angeles;12900;90059;33.936706;-118.254213;6484559.86999856;1799443.82724206
157249169;-118.29176325583002;33.967739466954512;Vermont Slauson Economic Development ;7901 S. Vermont Avenue;Los Angeles ;68551;90044;33.9677395;-118.2917632;6473202.57414363;1810768.47847722
157249513;-118.292128499929262;33.961196617827596;LA City Housing Department - Council District #8 Office;8475 S. Vermont Ave;Los Angeles;2534;90044;33.96119665;-118.29212844;6473084.90607189;1808387.72733323
157249676;-118.308125856175934;34.03250879700942;Fame Renaissance - Buissness  Development;1968 W. Adams Blvd.;Los Angeles;;;;;;
157249702;-118.281555856002669;33.74102022714299;Port Of Los Angeles;425 S. Palos Verdes St.;San Pedro;60215;90731;33.74102026;-118.2815558;6476066.52051547;1728251.1084073
157249969;-118.116942756775359;34.581921536060356;Goodwill Southern California - South Valley Worksource Center;38510 Sierra Hwy;Palmdale;;;;;;
157250730;-118.382801056306732;34.05197196691271;Educational Communication Inc;P.O. Box 351419;Los Angeles;70787;90035;34.051972;-118.382801;6445715.16061464;1841514.79854615
157250909;-118.590891155753226;34.193589226126399;Canoga Park - West Hills Worksource Center - Rescare Workforce Services;21010 Vanowen St;Canoga Park;70871;91303;34.19358926;-118.5908911;6382985.64631014;1893356.35234314
157250912;-118.302258556521537;34.061567997062042;Wilshire - Metro Worksource Center;3550 Wilshire Blvd;Los Angeles;70872;90010;34.06156803;-118.3022585;6470122.89985681;1844923.82683305
157250919;-118.22313505660415;33.979328477357917;Uaw - Labor Employment And Training Corporation - Hub Cities Office;2677 Zoe Ave;Huntington Park;;;;;;
