OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157247921;-118.188707056318719;33.979429967259144;City Of Bell;6330 Pine Ave.;Bell;61365;90201;33.97943;-118.188707;6504458.97455722;1814948.20929098
157247927;-118.353977055412486;33.897671966809135;City Of Lawndale;14717 Burin Ave.;Lawndale;61367;90260;33.897672;-118.353977;6454248.52674997;1785330.10054831
157247933;-118.189255056912543;33.98766696700411;City Of Maywood;4319 E. Slauson Ave.;Maywood;;;;;;
157247940;-117.99895305709714;34.147922966489006;City Of Monrovia;415 S. Ivy Ave.;Monrovia;;;;;;
157247947;-118.491680055640728;34.011306967179003;City Of Santa Monica;1685 Main St.;Santa Monica;;;;;;
157247955;-117.830236956746887;33.999321097240951;City Of Diamond Bar;21810 Copley Dr;Diamond Bar;;;;;;
157248278;-118.410607035364791;33.887281440691424;City Of Manhattan Beach;1400 Highland Ave;Manhattan Beach;2815;90266;33.88728147;-118.41060698;6437047.60445897;1781614.13422698
157249579;-118.038649757091562;34.137635517094488;Arcadia City Hall;240 W. Huntington Dr.;Arcadia;;;;;;
157249589;-118.415318255666321;33.920449676704905;El Segundo City Hall;350 Main Street;El Segundo;;;;;;
157249597;-118.354269917907388;33.918519348758707;Hawthorne City Hall;4455 W. 126th St.;Hawthorne;;;;;;
157249605;-117.965194044144212;33.946831051467775;La Habra Heights City Hall;1245 N. Hacienda Road;La Habra Heights;60812;90631;33.94683108;-117.96519399;6572226.77799772;1803032.89257048
157249612;-118.262962159456904;33.83219989539819;Carson City Hall;701 E. Carson St.;Carson;61296;90745;33.83219993;-118.2629621;6481806.51526906;1761418.5187784
157249620;-118.116430556778425;34.020268897168812;Montebello City Hall;1600 W. Beverly Blvd.;Montebello;61326;90640;34.02026893;-118.1164305;6526388.64624897;1829777.06545998
157249629;-118.118849756667046;34.059338737234135;Monterey Park City Hall;320 W. Newmark Ave.;Monterey Park;;;;;;
157249637;-118.071844038221059;33.915779199594695;Norwalk City Hall;12700 S. Norwalk Blvd.;Norwalk;;;;;;
157249644;-118.352960999320473;33.78361493303958;Rolling Hills Estates City Hall;4045 Palos Verdes Dr. North;Rolling Hills Estates;61339;90274;33.78361497;-118.35296094;6454411.11697596;1743820.98934098
157249653;-117.803621357086641;34.107238776908801;San Dimas City Hall;245 E. Bonita Ave.;San Dimas;61342;91773;34.10723881;-117.8036213;6621116.68218622;1861464.72321315
157249660;-118.438823875106252;34.284029929615585;San Fernando City Hall;117 Macneil St.;San Fernando;61343;91340;34.28402996;-118.43882382;6429113.93167806;1926033.51402281
157250511;-118.308467456067817;34.18285211649539;City Of Burbank Police Department;200 N 3Rd St;Burbank;70634;91502;34.18285215;-118.3084674;6468377.81443623;1889066.87404548
157250990;-118.775352255805146;34.144005716149508;City Of Agoura Hills;30001 Ladyface Ct;Agoura Hills;;;;;;
157250997;-117.970841656859449;34.145817956810497;City Of Bradbury;600 Winston Ave;Bradbury;70936;91008;34.14581799;-117.9708416;6570492.88185921;1875447.60600847
157251004;-118.647285755410749;34.152723506115549;City Of Calabasas;100 Civic Center Way;Calabasas;;;;;;
157251014;-117.944828656796957;33.931926437726986;City Of La Habra;201 E La Habra Blvd;La Habra;;;;;;
157251022;-118.410684656336997;33.887274257030924;City Of Manhattan Beach;1400 Highland Ave;Manhattan Beach;70940;90266;33.88727429;-118.4106846;6437024.03528039;1781611.61618739
157252133;-118.116037157341182;34.576652996119947;City Of Palmdale - Development Services;38250 Sierra Hwy;Palmdale;71728;93550;34.57665303;-118.1160371;6526741.5897688;2032256.04534373
157252969;-118.07995026040571;33.860056687329504;City Of Artesia;18747 Clarkdale Ave.;Artesia;61363;90701;33.86005672;-118.0799502;6537396.81681788;1771461.50328556
157254647;-118.127123146964323;34.092557363010485;Alhambra City Hall;111 S. First St.;Alhambra;;;;;;
157258959;-118.370644056089631;34.090312966755256;City Of West Hollywood;8300 Santa Monica Blvd.;West Hollywood;58908;90069;34.090313;-118.370644;6449449.09901288;1855453.92617965
157259046;-118.081942056750989;33.830176967298442;City Of Hawaiian Gardens;21815 S. Pioneer Blvd.;Hawaiian Gardens;61310;90716;33.830177;-118.081942;6536783.22782198;1760588.00370714
157259126;-118.088231056416006;33.982273967527959;City Of Pico Rivera;6615 S. Passons Blvd.;Pico Rivera;;;;;;
157259145;-118.133607055962798;33.849585967328963;City Of Lakewood;5050 N. Clark Ave.;Lakewood;;;;;;
157260232;-118.005321057302709;34.100297966674034;City Of Arcadia Public Works Services Department;11800 Goldring Rd.;Arcadia;;;;;;
