OBJECTID;DFIRM_ID;FLD_AR_ID;DUAL_ZONE;SOURCE_CIT;ShapeSTArea;ShapeSTLength
1930;06037C;06037C_508; ;06037C_FIRM1;3.34141532221111e-07;0.0105571553763602
1931;06037C;06037C_509; ;06037C_FIRM1;5.12027327204123e-08;0.00113342080097895
1932;06037C;06037C_510; ;06037C_FIRM1;5.09815572513617e-06;0.0101955854966595
1934;06037C;06037C_637; ;06037C_FIRM1;1.73606849784846e-07;0.00164855223303639
1936;06037C;06037C_639; ;06037C_FIRM1;6.84960127728118e-06;0.032563970262036
1938;06037C;06037C_641; ;06037C_FIRM1;6.22878815192962e-08;0.00149640012656944
1940;06037C;06037C_643; ;06037C_FIRM1;2.86613612843212e-08;0.000941796393104941
1941;06037C;06037C_771; ;06037C_FIRM1;5.40066139365081e-07;0.0152196676974065
1944;06037C;06037C_774; ;06037C_FIRM1;1.46825186675414e-07;0.00462148749335556
1948;06037C;06037C_777; ;06037C_FIRM1;7.83093355494202e-07;0.0226373004097528
1950;06037C;06037C_779; ;06037C_FIRM1;2.35547781812784e-06;0.0147646541645293
1951;06037C;06037C_780; ;06037C_FIRM1;1.50942742038751e-06;0.00657489955807894
1955;06037C;06037C_1127; ;06037C_FIRM1;3.13889358949382e-09;0.000325156177959192
1959;06037C;06037C_1131; ;06037C_FIRM1;2.38207326219708e-06;0.0130916341085051
1961;06037C;06037C_1125; ;06037C_FIRM1;4.86396629639785e-07;0.00501429465815179
1963;06037C;06037C_1133; ;06037C_FIRM1;9.03153022591141e-07;0.0121383764309246
1964;06037C;06037C_1134; ;06037C_STUDY1;9.08803485799581e-08;0.00805083166443515
1966;06037C;06037C_1136; ;06037C_FIRM1;2.15914747059287e-06;0.0129880748764058
1979;06037C;06037C_1507;F;06037C_STUDY9;1.42838416650193e-07;0.00239465745559007
1980;06037C;06037C_1508;F;06037C_STUDY9;2.44338707489078e-07;0.00392164920230913
1981;06037C;06037C_1509;F;06037C_STUDY9;1.12209363578586e-07;0.00286921625382197
1985;06037C;06037C_1513;F;06037C_STUDY9;7.23821358405985e-08;0.00439252208300258
