OBJECTID;X;Y;org_name;Name;addrln1;city;post_id;description;zip;latitude;longitude;POINT_X;POINT_Y
157253480;-118.256534975941761;33.790715354365915;LA City Department Recreation and Parks;Banning Park;1331  Eubank Ave.;Wilmington;2638;The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.;90744;33.79071539;-118.25653492;6483719.9710878;1746316.18513797
157253522;-118.250295656534433;33.782666187235662;LA City Department Recreation and Parks;East Wilmington Greenbelt Community Center;918 Sanford Ave;Wilmington;;;;;;;
157253534;-118.317912756396566;34.035008336625246;LA City Department Recreation and Parks;South Seas House;2301 W 24th St;Los Angeles;71594;"<span style=""color: #000000";;;;;
157260315;-117.718931857440424;34.087690416975214;;Abilityfirst - Claremont Center;480 N Indian Hill Blvd;Claremont;70862;The center provides socialization and recreation activities for children and adults with mild-to-severe developmental disabilities.;91711;34.08769045;-117.7189318;6646773.11742181;1854411.62314615
157260317;-118.244546056446154;33.953186967390401;www.drewcdc.org;92Nd And Maie Child Development Center;9200 S. Maie St.;Los Angeles;804;The agency provides child care services, family preservation, and mental health services primarily for people who live in South Central Los Angeles.;90002;33.953187;-118.244546;6487506.74796306;1805434.33264948
157260342;-118.184452256117567;34.03755120684027;;Abilityfirst - East Los Angeles;154 N Gage Ave;Los Angeles;70210;The center provides programs and services for children with developmental disabilities.;90063;34.03755124;-118.1844522;6505787.73731963;1836097.28018172
157260355;-118.25683805642926;34.026071967001663;;All Peoples Christian Center;822 E. 20th St.;Los Angeles;;;;;;;
157260369;-118.15227505619815;34.10208596717726;www.redesignlearning.org;Almansor Center;1955 Fremont Ave.;South Pasadena;2120;The center provides services for people with disabilities ages 3 to 22, including developmental, learning and communication disabilities.;91030;34.102086;-118.152275;6515571.87720014;1859566.36185239
157260371;-118.291940056428132;34.017387866682249;Behavioral Health Services, Inc.;Behavioral Health Services, Inc.;3787 S. Vermont Avenue;Los Angeles;68762;;90007;34.0173879;-118.29194;6473201.44094381;1828836.63820697
157260375;-118.251069056025415;33.924430966753874;Boys and Girls Clubs;Boys and Girls Clubs;1339 E. 120th Street ;Los Angeles;;;;;;;
157260380;-118.241028055906582;33.925252966700825;Charles Drew Child Development Corp.;Charles Drew Child Development Corp.;1770 E. 118th St. ;Los Angeles;68753;;90059;33.925253;-118.241028;6488549.27573363;1795265.98389173
