OBJECTID;X;Y;Name;post_id;latitude;longitude;POINT_X;POINT_Y
157210145;-118.528415155342429;34.054452866350793;Conference Grounds;23856;34.0544529;-118.5284151;6401611.94140655;1842617.55880781
157210228;-118.340351255919188;33.844182366749564;South Bay Industrial Park;23969;33.8441824;-118.3403512;6458317.63606581;1765849.7579474
157210230;-118.486468855961164;34.017787766889171;Colorado Business Park;23972;34.0177878;-118.4864688;6414252.91185947;1829210.41961165
157210335;-118.353684655912744;33.832237967321063;Del Amo Financial Center;24093;33.832238;-118.3536846;6454253.47260623;1761516.8886604
157210364;-118.452023556011866;34.020288266762989;Santa Monica Business Park;24129;34.0202883;-118.4520235;6424695.08684123;1830071.66428022
157210469;-118.293960355781536;33.76251786750975;World Port Business Center;24259;33.7625179;-118.2939603;6472317.96469238;1736085.50087498
157210724;-118.273685956434207;34.06084466701062;Wilshire Terrace Professional Center;24563;34.0608447;-118.2736859;6478776.17060797;1844635.80149047
157210726;-118.251388956380666;34.05222216683827;California Plaza;24565;34.0522222;-118.2513889;6485521.63776006;1841480.27794589
157210841;-117.717556357124266;34.106398266873626;Foothill Business Center;24696;34.1063983;-117.7175563;6647170.46439613;1861220.90152231
