OBJECTID;X;Y;cat1;cat2;cat3;org_name;Name;addrln1;addrln2;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157254906;-118.134050056828812;33.914389966951191;Education;Public High Schools;;Los Angeles County Office of Education;Alternative Opportunity Programs;12830 Columbia Way;;Downey;77034;90242;33.91439;-118.13405;6520998.06615089;1791252.14546272
157254907;-117.816560057074369;34.050319967312717;Education;Public High Schools;;Los Angeles County Office of Education;International Polytechnic High School;3801 West Temple Avenue, Building 128-16;;Pomona;77035;91768;34.05032;-117.81656;6617237.77918288;1840743.51924881
157254909;-118.160400056975902;34.04836996667575;Education;Public High Schools;;Los Angeles County Office of Education;East Los Angeles County Community;1260 South Monterey Pass Road;;Monterey Park;77037;91754;34.04837;-118.1604;6513080.99176197;1840021.93440589
157254910;-118.33296005609607;33.899039966742393;Education;Public High Schools;;Los Angeles County Office of Education;Renaissance County Community;14600 Cerise Avenue;;Hawthorne;77038;90250;33.89904;-118.33296;6460628.20460738;1785806.15143348
157254912;-118.065320056903403;33.865249967173284;Education;Public High Schools;;ABC Unified;Cerritos High School;12500 East 183rd Street;;Cerritos;77040;90703;33.86525;-118.06532;6541839.88995272;1773348.25640181
157254913;-118.07001005623431;33.877899967211413;Education;Public High Schools;;ABC Unified;ABC Adult School;12254 Cuesta Drive;;Cerritos;77041;90703;33.8779;-118.07001;6540419.26352888;1777952.8574288
157254914;-118.074330055992519;33.844409967390902;Education;Public High Schools;;ABC Unified;Artesia High School;12108 East Del Amo Boulevard;;Lakewood;77042;90715;33.84441;-118.07433;6539098.94464722;1765765.96054281
157254915;-118.071130056100117;33.878239967212515;Education;Public High Schools;;ABC Unified;Tracy (Wilbur) High School (Continuation);12222 Cuesta Drive;;Cerritos;77043;90703;33.87824;-118.07113;6540079.38264696;1778076.83027798
157254916;-118.055190056693235;33.878949967685188;Education;Public High Schools;;ABC Unified;Whitney (Gretchen) High School;16800 Shoemaker Avenue;;Cerritos;77044;90703;33.87895;-118.05519;6544917.98484638;1778332.17655206
157254917;-118.098010056253102;33.874169967639631;Education;Public High Schools;;ABC Unified;Gahr (Richard) High School;11111 Artesia Boulevard;;Cerritos;77045;90703;33.87417;-118.09801;6531918.7290208;1776602.52384339
157254918;-118.046450056044449;33.881519967743849;Education;Public High Schools;;ABC Unified;ABC Secondary (Alternative);16534 South Carmenita Road;;Cerritos;77046;90703;33.88152;-118.04645;6547571.35257113;1779266.12022223
157254943;-118.007280057606096;34.562219966099789;Education;Public High Schools;;Antelope Valley Union High;William J. (Pete) Knight High School;37423 70th Street East;;Palmdale;77071;93552;34.56222;-118.00728;6559478.56005588;2026983.42235881
157254944;-118.073290057112573;34.682469966240511;Education;Public High Schools;;Antelope Valley Union High;Eastside High School;3200 East Avenue J-8;;Lancaster;77072;93535;34.68247;-118.07329;6539637.11614305;2070753.65666856
157254945;-118.184410056689501;34.674939965824308;Education;Public High Schools;;Antelope Valley Union High;SOAR High School (Students On Academic Rise);3041 West Avenue K;;Lancaster;77073;93536;34.67494;-118.18441;6506226.06682356;2068056.08758864
157254949;-118.130350056966719;34.699149965538282;Education;Public High Schools;;Antelope Valley Union High;Antelope Valley High School;44900 North Division Street;;Lancaster;77077;93535;34.69915;-118.13035;6522491.02576339;2076841.39285265
157254950;-118.125910056964329;34.70103996548648;Education;Public High Schools;;Antelope Valley Union High;Desert Winds Continuation High School;45030 Third Street East;;Lancaster;77078;93535;34.70104;-118.12591;6523826.41712147;2077527.52140164
157254951;-118.090000057553922;34.558129966482305;Education;Public High Schools;;Antelope Valley Union High;Palmdale High School;2137 East Avenue R;;Palmdale;77079;93550;34.55813;-118.09;6534573.06951264;2025507.02045597
157254952;-118.237280057009741;34.660129966141682;Education;Public High Schools;;Antelope Valley Union High;Quartz Hill High School;6040 West Avenue L;;Quartz Hill;77080;93536;34.66013;-118.23728;6490317.60782689;2062699.64751415
157254953;-118.174150056950779;34.591569966469876;Education;Public High Schools;;Antelope Valley Union High;Highland High School;39055 25th Street West;;Palmdale;77081;93551;34.59157;-118.17415;6509258.24448623;2037709.95667997
157254954;-117.936730057436293;34.572709966529118;Education;Public High Schools;;Antelope Valley Union High;Littlerock High School;10833 East Avenue R;;Littlerock;77082;93543;34.57271;-117.93673;6580716.34664847;2030806.91274332
157254955;-118.188310056962848;34.693069965437914;Education;Public High Schools;;Antelope Valley Union High;Lancaster High School;44701 32nd Street West;;Lancaster;77083;93536;34.69307;-118.18831;6505065.86441955;2074656.30896823
157254956;-118.086790057008372;34.587399965695425;Education;Public High Schools;;Antelope Valley Union High;Phoenix High School Community Day;2270 East Avenue Q;;Palmdale;77084;93550;34.5874;-118.08679;6535548.73488414;2036158.26030831
157254958;-118.119510056748325;34.587239966027255;Education;Public High Schools;;Antelope Valley Union High;R. Rex Parris High School;38801 Clock Tower Plaza Drive;;Palmdale;77086;93550;34.58724;-118.11951;6525700.78148296;2036110.13770114
157254959;-118.036720056428521;34.129769967061321;Education;Public High Schools;;Arcadia Unified;Arcadia High School;180 Campus Drive;;Arcadia;77087;91007;34.12977;-118.03672;6550557.70027298;1869608.19708364
157254960;-118.023540056841455;34.137989966663348;Education;Public High Schools;;Arcadia Unified;Rancho Learning Center (Alternative);150 South Third Avenue;;Arcadia;77088;91006;34.13799;-118.02354;6554547.08304222;1872598.41059139
157254973;-117.897820056942891;34.124509966766055;Education;Public High Schools;;Azusa Unified;Azusa High School;240 North Cerritos Avenue;;Azusa;77101;91702;34.12451;-117.89782;6592595.15064672;1867707.67660648
157254974;-117.881330056693827;34.118359966780524;Education;Public High Schools;;Azusa Unified;Sierra High School;1134 South Barranca;;Glendora;77102;91740;34.11836;-117.88133;6597588.49695922;1865475.06230532
157254975;-117.911250057606566;34.103129967357603;Education;Public High Schools;;Azusa Unified;Gladstone High School;1340 North Enid;;Covina;77103;91722;34.10313;-117.91125;6588537.42615063;1859923.24007565
157254992;-117.94996005708802;34.083319966664746;Education;Public High Schools;;Baldwin Park Unified;Baldwin Park High School;3900 North Puente Avenue;;Baldwin Park;77120;91706;34.08332;-117.94996;6576822.42103739;1852705.91789615
157254993;-117.957640056482703;34.09736996720769;Education;Public High Schools;;Baldwin Park Unified;North Park Continuation High School;4600 Bogart Avenue;;Baldwin Park;77121;91706;34.09737;-117.95764;6574494.76525964;1857817.90865639
157254994;-117.97931005644098;34.074909966624375;Education;Public High Schools;;Baldwin Park Unified;Sierra Vista High School;3600 North Frazier Street;;Baldwin Park;77122;91706;34.07491;-117.97931;6567935.88270813;1849642.23176631
157255013;-117.969600057431393;34.051099967270211;Education;Public High Schools;;Bassett Unified;Bassett Adult School;934 North Sunkist;;La Puente;77141;91746;34.0511;-117.9696;6570878.98344922;1840978.06208681
