OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157191542;-118.392148056311271;34.272839966430567;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Hansen Dam Pool;11798 Foothill Blvd.;Lake View Terrace;1963;91342;34.27284;-118.392148;6443197.42746113;1921903.03311056
157191543;-118.263228056014441;33.792289967030825;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Banning Pool;1450 N. Avalon Blvd.;Wilmington;1964;90744;33.79229;-118.263228;6481687.72580847;1746894.48647481
157191544;-118.457623056335208;34.228944966102802;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Sepulveda Pool;8737 Kester Ave.;Panorama City;1965;91402;34.228945;-118.457623;6423343.99964839;1906012.62361848
157191545;-118.439304056392913;34.265112966427097;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Ritchie Valens Pool;10731 Laurel Canyon Blvd.;Pacoima;1966;91331;34.265113;-118.439304;6428938.79652964;1919149.98448281
157191546;-118.444459056135699;34.30828296642359;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Sylmar Pool;13109 Borden Ave.;Sylmar;1967;91342;34.308283;-118.444459;6427450.73848213;1934867.03474157
157191547;-118.534521056196965;34.18676496642145;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Reseda Pool;18411 Victory Blvd.;Reseda;1968;91335;34.186765;-118.534521;6400018.51381914;1890777.48971872
157191548;-118.54900005551103;34.2178569667376;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Cleveland High School Indoor Pool;8120 Vanalden Ave.;Reseda;1969;91335;34.217857;-118.549;6395701.56313547;1902115.86205506
157191549;-118.208055056470258;34.133450966364208;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Yosemite Pool;1840 Yosemite Dr.;Los Angeles;1970;90041;34.133451;-118.208055;6498709.15600438;1871010.90818898
157191552;-118.202026056994029;34.065698967207496;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Lincoln Pool;3501 Valley Blvd.;Los Angeles;1972;90032;34.065699;-118.202026;6500484.08224456;1846351.01262698
157191553;-118.267148056066858;33.97083296681798;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Fremont Indoor Pool;7630 Towne Ave.;Los Angeles;1973;90003;33.970833;-118.267148;6480669.31117864;1811873.51465298
157191554;-118.268530055703707;33.996653966878306;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - South Park Pool;345 E. 51st St.;Los Angeles;1974;90011;33.996654;-118.26853;6480275.38381688;1821271.39940047
