OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
1595;132735527;132735527;0.002;1,81E+13;390;39001;3458;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21537.0018334085;610.336557752865;Yes
1985;27687798;27687798;0.002;1,81E+13;390;39004;3848;Lake/Pond: Hydrographic Category = Perennial;Perennial;22321.3337095437;610.665879336602;Yes
1617;27911106;27911106;0.002;1,81E+13;390;39001;3480;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;23341.2787118805;611.308510861789;Yes
1827;27891010;27891010;0.002;1,81E+13;390;39001;3690;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21521.2513835101;613.191754467521;Yes
1600;27688394;27688394;0.002;1,81E+13;436;43613;3463;Reservoir: Reservoir Type = Water Storage;;;;
1150;27556601;27556601;0.002;1,81E+13;436;43613;3013;Reservoir: Reservoir Type = Water Storage;;;;
1797;27903950;27903950;0.002;1,81E+13;390;39001;3660;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;23990.0542860854;619.75889362138;Yes
1663;27928578;27928578;0.002; ;361;36100;3526;Playa; ;18651.6140497945;619.759383393924;Yes
1421;132735584;132735584;0.002;1,81E+13;436;43612;3284;Reservoir: Reservoir Type = Sewage Treatment Pond; ;18921.2849491183;619.961122355867;Yes
1544;27109849;27109849;0.002;1,81E+13;390;39004;3407;Lake/Pond: Hydrographic Category = Perennial;Perennial;20569.1040382305;621.940408338637;Yes
1246;27560455;27560455;0.002;1,81E+13;390;39004;3109;Lake/Pond: Hydrographic Category = Perennial;Perennial;22854.3082829222;622.747588469258;Yes
1945;27915716;27915716;0.002;1,81E+13;390;39001;3808;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;24164.7655282577;626.288912794463;Yes
1635;27689932;27689932;0.002;1,81E+13;390;39004;3498;Lake/Pond: Hydrographic Category = Perennial;Perennial;25933.892391641;626.622456222133;Yes
1221;27891026;27891026;0.002;1,81E+13;390;39001;3084;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;22153.3009077453;629.940697894584;Yes
1104;27916186;27916186;0.002;1,81E+13;390;39001;2967;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;19399.8621061669;630.153030205998;Yes
1573;27086459;27086459;0.002;1,81E+13;390;39004;3436;Lake/Pond: Hydrographic Category = Perennial;Perennial;22136.876588568;630.846704820807;Yes
