OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
1134;27912968;27912968;0.005;1,81E+13;390;39001;2997;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;50813.549165728;974.132975094964;Yes
1610;27559613;27559613;0.004;1,81E+13;390;39004;3473;Lake/Pond: Hydrographic Category = Perennial;Perennial;42269.2720099085;978.828731163087;Yes
1439;27687794;27687794;0.003;1,81E+13;390;39004;3302;Lake/Pond: Hydrographic Category = Perennial;Perennial;33955.0429234103;979.366706252854;Yes
1779;27922832;27922832;0.005;1,81E+13;390;39001;3642;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;58708.8966906749;980.066355110731;Yes
1363;27684822;27684822;0.005;1,81E+13;390;39001;3226;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;58865.2056823237;987.147836686961;Yes
1142;132735601;132735601;0.004;1,81E+13;436;43612;3005;Reservoir: Reservoir Type = Sewage Treatment Pond; ;41165.4448313988;995.72151159109;Yes
1419;132735503;132735503;0.003;1,81E+13;390;39001;3282;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;36561.2219265332;1009.34907843729;Yes
1264;132735602;132735602;0.004;1,81E+13;436;43612;3127;Reservoir: Reservoir Type = Sewage Treatment Pond; ;44747.8164960196;1011.43199205917;Yes
1850;27109845;27109845;0.003;1,81E+13;390;39004;3713;Lake/Pond: Hydrographic Category = Perennial;Perennial;37384.4767158554;1016.70370460534;Yes
1545;120025147;120025147;0.005;1,81E+13;390;39004;3408;Lake/Pond: Hydrographic Category = Perennial;Perennial;52911.3255873438;1028.5830132228;Yes
1306;27109773;27109773;0.006;1,81E+13;390;39001;3169;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;63910.5716407469;1030.78159408595;Yes
1388;132735603;132735603;0.004;1,81E+13;436;43612;3251;Reservoir: Reservoir Type = Sewage Treatment Pond; ;48424.3800155793;1030.9638668139;Yes
1537;27684814;27684814;0.007;1,81E+13;436;43613;3400;Reservoir: Reservoir Type = Water Storage;;;;
1492;27560141;27560141;0.007;1,81E+13;436;43613;3355;Reservoir: Reservoir Type = Water Storage;;;;
1452;27922824;27922824;0.006;1,81E+13;390;39004;3315;Lake/Pond: Hydrographic Category = Perennial;Perennial;68822.0196420257;1040.92431003068;Yes
1920;27560143;27560143;0.006;1,81E+13;436;43613;3783;Reservoir: Reservoir Type = Water Storage;;;;
1910;132735489;132735489;0.003;1,81E+13;390;39001;3773;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;27903.210234204;1042.39507199881;Yes
1842;27689976;27689976;0.005;1,81E+13;390;39004;3705;Lake/Pond: Hydrographic Category = Perennial;Perennial;56792.2629704171;1045.84078094604;Yes
1392;27928842;27928842;0.005; ;361;36100;3255;Playa; ;52437.4180824368;1047.29008451479;Yes
1752;132735549;132735549;0.005;1,81E+13;436;43613;3615;Reservoir: Reservoir Type = Water Storage;;;;
1763;27687776;27687776;0.007;1,81E+13;390;39001;3626;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;73946.435917789;1070.08937705218;Yes
1461;27928590;27928590;0.004; ;361;36100;3324;Playa; ;45336.6293474003;1077.93567167579;Yes
1484;27922774;27922774;0.002;1,81E+13;390;39004;3347;Lake/Pond: Hydrographic Category = Perennial;Perennial;16357.7108632559;1082.90697861018;Yes
1543;27108565;27108565;0.005;1,81E+13;390;39001;3406;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;55853.6644040051;1084.97118544795;Yes
1367;27102189;27102189;0.008;1,81E+13;390;39004;3230;Lake/Pond: Hydrographic Category = Perennial;Perennial;87160.6222939068;1085.66106314808;Yes
1677;27109871;27109871;0.007;1,81E+13;390;39004;3540;Lake/Pond: Hydrographic Category = Perennial;Perennial;74399.2228692532;1086.192938291;Yes
1886;27922926;27922926;0.005;1,81E+13;390;39004;3749;Lake/Pond: Hydrographic Category = Perennial;Perennial;57054.1119943395;1088.12352093056;Yes
1155;27693222;27693222;0.007;1,81E+13;390;39004;3018;Lake/Pond: Hydrographic Category = Perennial;Perennial;77086.5304376152;1089.07277292431;Yes
1422;132735653;132735653;0.007;1,81E+13;436;43613;3285;Reservoir: Reservoir Type = Water Storage;;;;
1243;27687780;27687780;0.007;1,81E+13;390;39001;3106;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;76050.963090794;1097.65130914032;Yes
1483;27916486;27916486;0.005;1,81E+13;390;39001;3346;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;50985.2961469521;1111.51731734866;Yes
1660;132735580;132735580;0.006;1,81E+13;390;39001;3523;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;60361.4534891172;1116.2346624154;Yes
1956;27559617;27559617;0.007;1,81E+13;436;43613;3819;Reservoir: Reservoir Type = Water Storage;;;;
1415;27920876;27920876;0.005;1,81E+13;390;39001;3278;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;59070.6108761548;1123.25582324879;Yes
1707;27109865;27109865;0.004;1,81E+13;390;39004;3570;Lake/Pond: Hydrographic Category = Perennial;Perennial;48346.0436976376;1123.8286887901;Yes
1455;27927836;27927836;0.007;1,81E+13;390;39004;3318;Lake/Pond: Hydrographic Category = Perennial;Perennial;78913.2373323677;1146.1762126525;Yes
